company,location,certification,datacenter
NPONE SARL,"Settat, Morocco",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,NPONE SARL
NPONE SARL,"Nouaceur, Morocco",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,NPONE SARL
NSDL e-Gov Infrastructure Ltd,"Pune Maharashtra, India",Tier III Certification of Design Documents,NSDL e-Gov Infrastructure Ltd
NTS Colocation AG,"Bern, Switzerland",Tier IV Certification of Design Documents,NTS Colocation AG
NTT,"Cyberjaya, Malaysia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,NTT
NTT Communications,"Tokyo, Japan",M&O Stamp Of Approval,NTT Communications
NTT Communications,Hong Kong,M&O Stamp Of Approval,NTT Communications
NTT Communications,"Hong Kong, Hong Kong",Tier IV Certification of Design DocumentsM&O Stamp Of Approval,NTT Communications
NTT Communications,"Hong Kong, Hong Kong",M&O Stamp Of Approval,NTT Communications
NTT Communications,"Hong Kong, Hong Kong",M&O Stamp Of Approval,NTT Communications
NTT Global Data Centers SG1 Pte. Ltd.,Singapore,M&O Stamp Of Approval,NTT Global Data Centers SG1 Pte. Ltd.
O2 Czech Republic,"Prague, Czech Republic",Tier III Certification of Design Documents,O2 Czech Republic
O2 Czech Republic,"Prague, Czech Republic",Tier III Certification of Design Documents,O2 Czech Republic
O2 Czech Republic,"Hradec Kralove, Czech Republic",Tier III Certification of Design Documents,O2 Czech Republic
OCP Group,"Benguerir, Morocco",Tier IV Certification of Design Documents,OCP Group
OCP Group,"Benguerir, Morocco",Tier III Certification of Design Documents,OCP Group
Odata S.A.,"Bogota, Colombia",Tier III Certification of Constructed Facility,Odata S.A.
Odata S.A.,"Bogota, Colombia",Tier III Certification of Design Documents,Odata S.A.
Odata S.A.,"São Paulo, Brazil",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Odata S.A.
Odata S.A.,"Santana de Parnaiba Sao Paulo, Brazil",Tier III Certification of Constructed Facility,Odata S.A.
Odata S.A.,"Santana de Parnaiba Sao Paulo, Brazil",Tier III Certification of Design Documents,Odata S.A.
OGR-CRT Società Consortile per Azioni (SCPA),"Torino, Italy",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,OGR-CRT Società Consortile per Azioni (SCPA)
Oi Cyber Data Center,"Brasília Distrito Federal, Brazil",Tier III Certification of Design Documents,Oi Cyber Data Center
OJSC VimpelCom,"Yaroslavl Central Federal District, Russia",Tier III Certification of Design Documents,OJSC VimpelCom
Old Mutual,"Johannesburg, South Africa",Tier III Certification of Design Documents,Old Mutual
OneAsia Network Limited,Hong Kong,Tier III Certification of Design Documents,OneAsia Network Limited
OneNeck IT Solutions LLC,"Madison Wisconsin, United States",M&O Stamp Of Approval,OneNeck IT Solutions LLC
OneNeck IT Solutions LLC,"Bend Oregon, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,OneNeck IT Solutions LLC
OnePartner,"Duffield Virginia, United States",Tier III Certification of Design Documents,OnePartner
Online SAS,"Paris, France",Tier III Certification of Design Documents,Online SAS
OnX Enterprise Solutions Ltd.,"Truro Nova Scotia, Canada",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,OnX Enterprise Solutions Ltd.
Ooredoo (Q.S.C),"Doha, Qatar",Tier III Certification of Design Documents,Ooredoo (Q.S.C)
Ooredoo (Q.S.C),"Doha, Qatar",Tier III Certification of Design Documents,Ooredoo (Q.S.C)
Ooredoo (Q.S.C),"Doha, Qatar",Tier III Certification of Constructed Facility,Ooredoo (Q.S.C)
Orange Botswana (PTY) LTD,"Gaborone, Botswana",Tier III Certification of Design Documents,Orange Botswana (PTY) LTD
Orange Botswana (PTY) LTD,"Gaborone, Botswana",Tier III Certification of Constructed Facility,Orange Botswana (PTY) LTD
Orange Maroc,"Nouaceur, Morocco",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Orange Maroc
Orange Maroc,"Nouaceur, Morocco",Tier III Certification of Design Documents,Orange Maroc
"Ordos UniCloud Tech. Co., Ltd.","Ordos, China",Tier III Certification of Design Documents,"Ordos UniCloud Tech. Co., Ltd."
OTE Group / Cosmote SA,"Athens Attica, Greece",Tier III Certification of Design Documents,OTE Group / Cosmote SA
OTE Group / Cosmote SA,"Athens, Greece",Tier III Certification of Design Documents,OTE Group / Cosmote SA
Pacific Controls Cloud Services,"Dubai, United Arab Emirates",Tier III Certification of Design Documents,Pacific Controls Cloud Services
Pacific Controls Cloud Services,"Dubai, United Arab Emirates",Tier III Certification of Constructed Facility,Pacific Controls Cloud Services
Pakistan Telecommunications Company Limited,"Lahore, Pakistan",Tier III Certification of Design Documents,Pakistan Telecommunications Company Limited
Pakistan Telecommunications Company Limited,"Karachi, Pakistan",Tier III Certification of Design Documents,Pakistan Telecommunications Company Limited
Palestine Telecommunications Company PLC (Paltel),"Nablus West Bank, Palestine, State of",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Palestine Telecommunications Company PLC (Paltel)
Panama Digital Gateway S.A,"Panama City, Panama",Tier III Certification of Design Documents,Panama Digital Gateway S.A
PASHA Technology LLC,"Baku, Azerbaijan",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,PASHA Technology LLC
PASHA Technology LLC,"Goychay, Azerbaijan",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,PASHA Technology LLC
Pathway Communications & NetPulse Services,"Markham Ontario, Canada",Tier III Certification of Design Documents,Pathway Communications & NetPulse Services
"Paycom Software, Inc.","Oklahoma City Oklahoma, United States",Tier III Certification of Design Documents,"Paycom Software, Inc."
"Paycom Software, Inc.","Grapevine Texas, United States",Tier IV Certification of Design Documents,"Paycom Software, Inc."
PCCW Global Limited and Keppel Data Centres Holding Pte Ltd,"Hong Kong, China",Tier III Certification of Design Documents,PCCW Global Limited and Keppel Data Centres Holding Pte Ltd
PCCW Powerbase,"Hong Kong, China",Tier III Certification of Design Documents,PCCW Powerbase
PCCW Powerbase,"Hong Kong, China",Tier III Certification of Constructed Facility,PCCW Powerbase
PCCW Powerbase,"Hong Kong , Hong Kong",Tier III Certification of Design Documents,PCCW Powerbase
Petro Rabigh,"Rabigh, Saudi Arabia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Petro Rabigh
Petrobras,"Rio de Janeiro Rio de Janeiro, Brazil",Tier III Certification of Design Documents,Petrobras
Pi Datacenters (P) Ltd,"Mangalagiri Andhra Pradesh, India",Tier IV Certification of Design Documents,Pi Datacenters (P) Ltd
PICC Group,"Foshan, China",M&O Stamp Of Approval,PICC Group
Pier DC Pty Limited,"Perth Canning Vale, Australia",Tier III Certification of Design Documents,Pier DC Pty Limited
Pier DC Pty Limited,"Perth Canning Vale, Australia",Tier III Certification of Constructed Facility,Pier DC Pty Limited
Ping An,"Shanghai, China",M&O Stamp Of Approval,Ping An
Ping An,"Shenzhen, China",M&O Stamp Of Approval,Ping An
Piraeus Bank,"Athens Attica, Greece",Tier IV Certification of Design Documents,Piraeus Bank
PJSC Transneft,"Lukhovitsy, Russia",Tier III Certification of Design Documents,PJSC Transneft
PNK Group,"Moscow, Russia",Tier III Certification of Design Documents,PNK Group
PNT Euro-Centrum,"Katowice PL, Poland",Tier III Certification of Design Documents,PNT Euro-Centrum
Portugal Telecom Data Center S.A,"Covilha, Portugal",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Portugal Telecom Data Center S.A
Poste Italiane,"Torino, Italy",Tier IV Certification of Design Documents,Poste Italiane
PP Telecommunication Sdn Bhd,"Kuching, Malaysia",Tier IV Certification of Design Documents,PP Telecommunication Sdn Bhd
Prada s.p.a.,"Terranuova Bracciolini Arezzo , Italy",Tier IV Certification of Design Documents,Prada s.p.a.
Princeton Digital Group,Singapore,M&O Stamp Of Approval,Princeton Digital Group
Princeton Digital Group (India) Management Private Limited,"Navi Mumbai, India",Tier III Certification of Design Documents,Princeton Digital Group (India) Management Private Limited
Prisma Medios de Pago S.A.,"Buenos Aires, Argentina",Tier III Certification of Design Documents,Prisma Medios de Pago S.A.
Progressive Insurance,"Mayfield Heights Ohio, United States",M&O Stamp Of Approval,Progressive Insurance
Province of Ontario,"Guelph Ontario, Canada",Tier IV Certification of Design DocumentsTier IV Certification of Constructed FacilityTier IV Gold Certification of Operational Sustainability,Province of Ontario
Prudential,"Dresher Pennsylvania, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Prudential
Prudential,"Plymouth Minnesota, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Prudential
PT Aristi Jasadata,"Tangerang Banten, Indonesia",Tier III Certification of Design Documents,PT Aristi Jasadata
PT Bank OCBC NISP Tbk.,"Tangerang, Indonesia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,PT Bank OCBC NISP Tbk.
PT Bank Rakyat Indonesia (Persero) Tbk,"Jakarta Selatan, Indonesia",Tier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,PT Bank Rakyat Indonesia (Persero) Tbk
PT Bank Rakyat Indonesia (Persero) Tbk,"Tabanan, Indonesia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,PT Bank Rakyat Indonesia (Persero) Tbk
PT Bank Rakyat Indonesia (Persero) Tbk,"Jakarta, Indonesia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,PT Bank Rakyat Indonesia (Persero) Tbk
PT CYBER CSF,"Jakarta, Indonesia",Tier III Certification of Design Documents,PT CYBER CSF
PT DCI Indonesia,"Bekasi Jawa Barat, Indonesia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,PT DCI Indonesia
PT DCI Indonesia,"Jakarta, Indonesia",Tier IV Certification of Design Documents,PT DCI Indonesia
PT DCI Indonesia,"Bekasi Regency, Indonesia",Tier IV Certification of Design DocumentsTier IV Certification of Constructed Facility,PT DCI Indonesia
PT Indonesia Comnets Plus,"Jawa Barat, Indonesia",Tier III Certification of Design Documents,PT Indonesia Comnets Plus
PT Pertamina (Persero),"Jakarta, Indonesia",Tier III Certification of Design Documents,PT Pertamina (Persero)
PT Pertamina (Persero),"Jakarta, Indonesia",Tier III Certification of Constructed Facility,PT Pertamina (Persero)
PT PGAS Telekomunikasi Nusantara,"Jakarta Barat, Indonesia",Tier II Certification of Design Documents,PT PGAS Telekomunikasi Nusantara
PT Teknovatus Solusi Sejahtera,"Tangerang Selatan Banten, Indonesia",Tier III Certification of Design Documents,PT Teknovatus Solusi Sejahtera
"PT XL Axiata, Tbk","Surabaya, Indonesia",Tier III Certification of Design Documents,"PT XL Axiata, Tbk"
"PT XL Axiata, Tbk","Bintaro, South Tangerang Banten, Indonesia",Tier III Certification of Design Documents,"PT XL Axiata, Tbk"
PT Aplikanusa Lintasarta,"Tangerang Selatan Banten, Indonesia",Tier III Certification of Design Documents,PT Aplikanusa Lintasarta
PT Aplikanusa Lintasarta,"Tangerang Selatan Banten, Indonesia",Tier III Certification of Constructed Facility,PT Aplikanusa Lintasarta
"PT Bank Bukopin, Tbk","Surabaya Jawa Timur, Indonesia",Tier III Certification of Design Documents,"PT Bank Bukopin, Tbk"
PT Bank Negara Indonesia (Persero) Tbk,"Jakarta DKI Jakarta, Indonesia",Tier III Certification of Design Documents,PT Bank Negara Indonesia (Persero) Tbk
PT Bank Negara Indonesia (Persero) Tbk,"Jakarta DKI Jakarta, Indonesia",Tier III Certification of Constructed Facility,PT Bank Negara Indonesia (Persero) Tbk
PT Biznet Data Center,"Cimanggis, Indonesia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,PT Biznet Data Center
PT CBN Nusantara,"Jakarta DKI Jakarta, Indonesia",Tier III Certification of Design Documents,PT CBN Nusantara
PT. Ekagrata Data Gemilang (EDGE DC),"Jakarta, Indonesia",Tier III Certification of Design Documents,PT. Ekagrata Data Gemilang (EDGE DC)
PT Indonesia Super Corridor,"Denpasar, Indonesia",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,PT Indonesia Super Corridor
PT Indonesia Super Corridor,"Jakarta, Indonesia",Tier III Certification of Constructed FacilityTier III Certification of Design Documents,PT Indonesia Super Corridor
PT. Indosat Ooredoo Hutchison,"Jakarta, Indonesia",Tier III Certification of Design Documents,PT. Indosat Ooredoo Hutchison
PT. Indosat Ooredoo Hutchison,"Jakarta, Indonesia",Tier III Certification of Design Documents,PT. Indosat Ooredoo Hutchison
PT. Indosat Ooredoo Hutchison,"Bogor, Indonesia",Tier III Certification of Design Documents,PT. Indosat Ooredoo Hutchison
PT Indosat Tbk.,"Jakarta, Indonesia",Tier III Certification of Design Documents,PT Indosat Tbk.
PT Indosat Tbk.,"Jakarta, Indonesia",Tier III Certification of Constructed Facility - Provisional,PT Indosat Tbk.
PT Indosat Tbk.,"Purwakarta, Indonesia",Tier III Certification of Design Documents,PT Indosat Tbk.
PT Indosat Tbk.,"Purwakarta, Indonesia",Tier III Certification of Constructed Facility - Provisional,PT Indosat Tbk.
PT Indosat Tbk.,"Purwakarta, Indonesia",Tier III Certification of Constructed Facility,PT Indosat Tbk.
PT. NTT Global Data Centers Indonesia,"Jakarta Selatan, Indonesia",Tier III Certification of Constructed FacilityTier III Silver Certification of Operational Sustainability,PT. NTT Global Data Centers Indonesia
PT. NTT Global Data Centers Indonesia,"Jakarta Selatan, Indonesia",Tier III Certification of Design Documents,PT. NTT Global Data Centers Indonesia
