company,location,certification,datacenter
Burst Myanmar Co. Ltd.,"Yangon Thanlyin Township, Myanmar",Tier IV Certification of Design Documents,Burst Myanmar Co. Ltd.
Business Connexion,"Midrand Gauteng, South Africa",Tier IV Certification of Design Documents,Business Connexion
Business Connexion,"Gauteng, South Africa",Tier IV Certification of Design Documents,Business Connexion
Business System Telehouse,"Moscow, Russia",Tier III Certification of Design Documents,Business System Telehouse
Byblos Bank s.a.l.,"Beirut, Lebanon",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Byblos Bank s.a.l.
Bynet Data Communications LTD,"Jerusalem, Israel",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Bynet Data Communications LTD
C Spire Advanced Data Solutions,"Starkville Mississippi, United States",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,C Spire Advanced Data Solutions
C Spire Advanced Data Solutions,"Starkville Mississippi, United States",Tier IV Certification of Design Documents,C Spire Advanced Data Solutions
"Cable & Wireless Panamá, S.A.","Arraijan Panamá Oeste, Panama",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"Cable & Wireless Panamá, S.A."
Cable & Wireless UK Ltd,"Birmingham, United Kingdom",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,Cable & Wireless UK Ltd
"Cable Onda, S.A.","Panamá City, Panama",M&O Stamp Of Approval,"Cable Onda, S.A."
"Cable Onda, S.A.","Divisa Herrera, Panama",Tier III Certification of Design Documents,"Cable Onda, S.A."
"Cable Onda, S.A.","Divisa Herrera, Panama",Tier III Certification of Constructed Facility,"Cable Onda, S.A."
Cameroon Telecommunications,"Yaounde , Cameroon",Tier III Certification of Design Documents,Cameroon Telecommunications
Cancom Pironet DC AG & Co. KG,"Hamburg, Germany",Tier III Certification of Design Documents,Cancom Pironet DC AG & Co. KG
Canon IT Solutions Inc.,"Tokyo, Japan",M&O Stamp Of Approval,Canon IT Solutions Inc.
Canon IT Solutions Inc.,"Tokyo, Japan",M&O Stamp Of Approval,Canon IT Solutions Inc.
Capgemini UK Plc,"Swindon, United Kingdom",Tier III Certification of Design Documents,Capgemini UK Plc
Cartagena II S.A.,"Cartagena, Colombia",Tier III Certification of Design Documents,Cartagena II S.A.
"Cathay Financial Holdings Co., Ltd.","Taoyuan City, Taiwan",Tier III Certification of Design DocumentsTier III Certification of Constructed Facility,"Cathay Financial Holdings Co., Ltd."
CEMEX,"Monterrey, Mexico",Efficient IT ActivatedEfficient IT Stamp Of ApprovalTier III Certification of Design DocumentsTier III Certification of Constructed FacilityTier III Gold Certification of Operational Sustainability,CEMEX
Centre for Development of Advanced Computing (C-DAC),"Noida, India",Tier III Certification of Design Documents,Centre for Development of Advanced Computing (C-DAC)
"Centrin Data Group Co., Ltd.","Wuhan, China",Tier IV Certification of Design Documents,"Centrin Data Group Co., Ltd."
Centrin Data Systems Ltd.,"Kunshan, China",Tier IV Certification of Design Documents,Centrin Data Systems Ltd.
Centrin Data Systems Ltd.,"Kunshan, China",M&O Stamp Of Approval,Centrin Data Systems Ltd.
Centrin Data Systems Ltd.,"Beijing, China",M&O Stamp Of Approval,Centrin Data Systems Ltd.
Centro de Tecnologia Armazém Datacenter Ltda,"Joinville, Brazil",Tier III Certification of Design Documents,Centro de Tecnologia Armazém Datacenter Ltda
